stname,tractfips,Tract_2000,Tract_2010,municipality,city_neighborhood,est_obesity_rate,is_pittsburgh
Pennsylvania,42003561700,160600,561700,Pittsburgh  ,Saint Clair,0.699500402,1
Pennsylvania,42003561700,160700,561700,Pittsburgh  ,Mount Oliver Neighborhood,0.380567299,1
Pennsylvania,42003561900,120100,"561900, 980000 & 981800",Pittsburgh  ,Lincoln-Lemington-Belmar,0.637099034,1
Pennsylvania,42003562000,40300,562000 & 982200,Pittsburgh  ,North Oakland,0.070352811,1
Pennsylvania,42003562300,150100,562300,Pittsburgh  ,Hazelwood,0.371847244,1
Pennsylvania,42003562300,150400,562300,Pittsburgh  ,Glen Hazel,0.383138055,1
Pennsylvania,42003562400,180600,562400,Pittsburgh  ,Bon Air,0.289504665,1
Pennsylvania,42003562400,180900,562400,Pittsburgh  ,Beltzhoover,0.479978155,1
Pennsylvania,42003562500,201700,562500,Pittsburgh  ,Esplen,0.348333537,1
Pennsylvania,42003562500,201800,562500,Pittsburgh  ,Sheraden,0.348089355,1
Pennsylvania,42003562600,201900,562600,Pittsburgh  ,West End,0.287903689,1
Pennsylvania,42003562600,202000,562600,Pittsburgh  ,Elliott,0.344055061,1
Pennsylvania,42003562700,220100,562700,Pittsburgh  ,Allegheny West,0.20639897,1
Pennsylvania,42003562700,220400,562700,Pittsburgh  ,Allegheny Center,0.313581335,1
Pennsylvania,42003562800,280500,562800,Pittsburgh  ,East Carnegie,0.332559825,1
Pennsylvania,42003562800,281200,562800,Pittsburgh  ,Oakwood,0.268579214,1
Pennsylvania,42003562900,310100,562900,Pittsburgh  ,Hays,0.306539098,1
Pennsylvania,42003563000,202100,563000,Pittsburgh  ,Chartiers City,0.438444683,1
Pennsylvania,42003563000,280700,563000,Pittsburgh  ,Windgap,0.340615473,1
Pennsylvania,42003563000,280800,563000,Pittsburgh  ,Fairywood,0.820311359,1
Pennsylvania,42003563100,201600,563100,Pittsburgh  ,Ridgemont,0.27678553,1
